Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN
Logistic Regression,1,PoliceReform,0.5041666666666667,0.4955738148158923,0.6075949367088608,0.45714285714285713,0.028181818181818183,0.5428571428571428,0.45714285714285713,0.9718181818181818,48,31,57,1069
Logistic Regression,1,Operations_PatrolsInterventions,0.5041666666666667,0.4955738148158923,0.6923076923076923,0.6,0.006808510638297872,0.4,0.6,0.9931914893617021,18,8,12,1167
Logistic Regression,1,StateAdministration,0.5041666666666667,0.4955738148158923,0.5277777777777778,0.4318181818181818,0.014642549526270457,0.5681818181818182,0.4318181818181818,0.9853574504737296,19,17,25,1144
Logistic Regression,1,RefugeeAssistance,0.5041666666666667,0.4955738148158923,0.4375,0.35,0.007594936708860759,0.65,0.35,0.9924050632911392,7,9,13,1176
Logistic Regression,1,ElectionAssistance,0.5041666666666667,0.4955738148158923,0.9166666666666666,0.5,0.0008453085376162299,0.5,0.5,0.9991546914623838,11,1,11,1182
Logistic Regression,1,LegalReform,0.5041666666666667,0.4955738148158923,0.6363636363636364,0.2692307692307692,0.0033927056827820186,0.7307692307692307,0.2692307692307692,0.996607294317218,7,4,19,1175
Logistic Regression,1,CivilSocietyAssistance,0.5041666666666667,0.4955738148158923,0.5238095238095238,0.34375,0.008525149190110827,0.65625,0.34375,0.9914748508098892,11,10,21,1163
Logistic Regression,1,PoliceReform,0.5041666666666667,0.4955738148158923,0.6075949367088608,0.45714285714285713,0.028181818181818183,0.5428571428571428,0.45714285714285713,0.9718181818181818,48,31,57,1069
Logistic Regression,1,Operations_PatrolsInterventions,0.5041666666666667,0.4955738148158923,0.6923076923076923,0.6,0.006808510638297872,0.4,0.6,0.9931914893617021,18,8,12,1167
Logistic Regression,1,StateAdministration,0.5041666666666667,0.4955738148158923,0.5277777777777778,0.4318181818181818,0.014642549526270457,0.5681818181818182,0.4318181818181818,0.9853574504737296,19,17,25,1144
Logistic Regression,1,RefugeeAssistance,0.5041666666666667,0.4955738148158923,0.4375,0.35,0.007594936708860759,0.65,0.35,0.9924050632911392,7,9,13,1176
Logistic Regression,1,ElectionAssistance,0.5041666666666667,0.4955738148158923,0.9166666666666666,0.5,0.0008453085376162299,0.5,0.5,0.9991546914623838,11,1,11,1182
Logistic Regression,1,LegalReform,0.5041666666666667,0.4955738148158923,0.6363636363636364,0.2692307692307692,0.0033927056827820186,0.7307692307692307,0.2692307692307692,0.996607294317218,7,4,19,1175
Logistic Regression,1,CivilSocietyAssistance,0.5041666666666667,0.4955738148158923,0.5238095238095238,0.34375,0.008525149190110827,0.65625,0.34375,0.9914748508098892,11,10,21,1163
Logistic Regression,2,PoliceReform,0.4732510288065844,0.45150650113056134,0.6,0.42857142857142855,0.027247956403269755,0.5714285714285714,0.42857142857142855,0.9727520435967303,45,30,60,1071
